Step	Time	I	E
8	0.0	-1.8005	3.9084
8	0.1	-1.8005	3.9084
8	0.2	-1.8005	3.9074
8	0.3	-1.8005	3.9071
8	0.4	-1.8009000000000002	3.9065
8	0.5	-1.8009000000000002	3.9059
8	0.6	-1.8009000000000002	3.9053
8	0.7	-1.8009000000000002	3.9046
8	0.8	-1.8009000000000002	3.904
8	0.9	-1.8009000000000002	3.9037
8	1.0	-1.8009000000000002	3.9034
8	1.1	-1.8009000000000002	3.9028
8	1.2	-1.8009000000000002	3.9028
8	1.3	-1.8009000000000002	3.9022
8	1.4	-1.8009000000000002	3.9015
8	1.5	-1.8009000000000002	3.9012
8	1.6	-1.8009000000000002	3.9009
8	1.7	-1.8009000000000002	3.9006
8	1.8	-1.8009000000000002	3.9003
8	1.9	-1.8009000000000002	3.9
8	2.0	-1.8009000000000002	3.8997
8	2.1	-1.8009000000000002	3.8997
8	2.2	-1.8009000000000002	3.8994
8	2.3	-1.8009000000000002	3.8991
8	2.4	-1.8009000000000002	3.8988
8	2.5	-1.8009000000000002	3.8988
8	2.6	-1.8009000000000002	3.8984
8	2.7	-1.8009000000000002	3.8984
8	2.8	-1.8009000000000002	3.8981
8	2.9	-1.8009000000000002	3.8978
8	3.0	-1.8009000000000002	3.8978
8	3.1	-1.8009000000000002	3.8975
8	3.2	-1.8009000000000002	3.8972
8	3.3	-1.8009000000000002	3.8972
8	3.4	-1.8009000000000002	3.8969
8	3.5	-1.8009000000000002	3.8969
8	3.6	-1.8009000000000002	3.8966
8	3.7	-1.8009000000000002	3.8966
8	3.8	-1.8009000000000002	3.8963
8	3.9	-1.8009000000000002	3.896
8	4.0	-1.8009000000000002	3.896
8	4.1	-1.8009000000000002	3.8957
8	4.2	-1.8009000000000002	3.8957
8	4.3	-1.8009000000000002	3.8953
8	4.4	-1.8009000000000002	3.895
8	4.5	-1.8009000000000002	3.895
8	4.6	-1.8009000000000002	3.895
8	4.7	-1.8009000000000002	3.8947
8	4.8	-1.8009000000000002	3.8947
8	4.9	-1.8009000000000002	3.8944
8	5.0	-1.8009000000000002	3.8938
8	5.1	-1.8009000000000002	3.8938
8	5.2	-1.8009000000000002	3.8935
8	5.3	-1.8009000000000002	3.8935
8	5.4	-1.8009000000000002	3.8935
8	5.5	-1.8009000000000002	3.8932
8	5.6	-1.8009000000000002	3.8932
8	5.7	-1.8009000000000002	3.8929
8	5.8	-1.8009000000000002	3.8929
8	5.9	-1.8009000000000002	3.8926
8	6.0	-1.8009000000000002	3.8926
8	6.1	-1.8009000000000002	3.8922
8	6.2	-1.8009000000000002	3.8922
8	6.3	-1.8009000000000002	3.8919
8	6.4	-1.8009000000000002	3.8919
8	6.5	-1.8009000000000002	3.8916
8	6.6	-1.8009000000000002	3.8916
8	6.7	-1.8009000000000002	3.8916
8	6.8	-1.8009000000000002	3.8913
8	6.9	-1.8009000000000002	3.8913
8	7.0	-1.8009000000000002	3.891
8	7.1	-1.8009000000000002	3.891
8	7.2	-1.8009000000000002	3.891
8	7.3	-1.8009000000000002	3.8907
8	7.4	-1.8009000000000002	3.8907
8	7.5	-1.8009000000000002	3.8904
8	7.6	-1.8009000000000002	3.8904
8	7.7	-1.8009000000000002	3.8901
8	7.8	-1.8009000000000002	3.8901
8	7.9	-1.8009000000000002	3.8901
8	8.0	-1.8009000000000002	3.8898
8	8.1	-1.8009000000000002	3.8898
8	8.2	-1.8009000000000002	3.8895
8	8.3	-1.8009000000000002	3.8895
8	8.4	-1.8009000000000002	3.8895
8	8.5	-1.8009000000000002	3.8891
8	8.6	-1.8009000000000002	3.8891
8	8.7	-1.8009000000000002	3.8888
8	8.8	-1.8009000000000002	3.8888
8	8.9	-1.8009000000000002	3.8885
8	9.0	-1.8009000000000002	3.8885
8	9.1	-1.8009000000000002	3.8885
8	9.2	-1.8009000000000002	3.8882
8	9.3	-1.8009000000000002	3.8882
8	9.4	-1.8009000000000002	3.8882
8	9.5	-1.8009000000000002	3.8879
8	9.6	-1.8009000000000002	3.8879
8	9.7	-1.8009000000000002	3.8879
8	9.8	-1.8009000000000002	3.8876
8	9.9	-1.8009000000000002	3.8876
8	10.0	-1.8009000000000002	3.8873
8	10.1	-1.8009000000000002	3.8873
8	10.2	-1.8009000000000002	3.8873
8	10.3	-1.8009000000000002	3.887
8	10.4	-1.8009000000000002	3.887
8	10.5	-1.8009000000000002	3.887
8	10.6	-1.8009000000000002	3.8867
8	10.7	-1.8009000000000002	3.8867
8	10.8	-1.8009000000000002	3.8867
8	10.9	-1.8009000000000002	3.886
8	11.0	-1.8009000000000002	3.886
8	11.1	-1.8009000000000002	3.8857
8	11.2	-1.8009000000000002	3.8857
8	11.3	-1.8009000000000002	3.8857
8	11.4	-1.8009000000000002	3.8857
8	11.5	-1.8009000000000002	3.8854
8	11.6	-1.8009000000000002	3.8854
8	11.7	-1.8009000000000002	3.8851
8	11.8	-1.8009000000000002	3.8851
8	11.9	-1.8009000000000002	3.8851
8	12.0	-1.8009000000000002	3.8851
8	12.1	-1.8009000000000002	3.8848
8	12.2	-1.8009000000000002	3.8848
8	12.3	-1.8009000000000002	3.8848
8	12.4	-1.8009000000000002	3.8845
8	12.5	-1.8009000000000002	3.8845
8	12.6	-1.8009000000000002	3.8842
8	12.7	-1.8009000000000002	3.8842
8	12.8	-1.8009000000000002	3.8842
8	12.9	-1.8009000000000002	3.8839
8	13.0	-1.8009000000000002	3.8839
8	13.1	-1.8009000000000002	3.8839
8	13.2	-1.8009000000000002	3.8839
8	13.3	-1.8009000000000002	3.8836
8	13.4	-1.8009000000000002	3.8836
8	13.5	-1.8009000000000002	3.8836
8	13.6	-1.8009000000000002	3.8833
8	13.7	-1.8005	3.8833
8	13.8	-1.8009000000000002	3.8829
8	13.9	-1.8009000000000002	3.8829
8	14.0	-1.8009000000000002	3.8829
8	14.1	-1.8009000000000002	3.8826
8	14.2	-1.8009000000000002	3.8826
8	14.3	-1.8009000000000002	3.8826
8	14.4	-1.8009000000000002	3.8826
8	14.5	-1.8009000000000002	3.8823
8	14.6	-1.8005	3.8823
8	14.7	-1.8009000000000002	3.8823
8	14.8	-1.8009000000000002	3.882
8	14.9	-1.8009000000000002	3.882
8	15.0	-1.8009000000000002	3.882
8	15.1	-1.8009000000000002	3.8817
8	15.2	-1.8009000000000002	3.8817
8	15.3	-1.8009000000000002	3.8817
8	15.4	-1.8009000000000002	3.8814
8	15.5	-1.8009000000000002	3.8814
8	15.6	-1.8009000000000002	3.8814
8	15.7	-1.8009000000000002	3.8814
8	15.8	-1.8009000000000002	3.8811
8	15.9	-1.8009000000000002	3.8811
8	16.0	-1.8009000000000002	3.8811
8	16.1	-1.8009000000000002	3.8808
8	16.2	-1.8009000000000002	3.8808
8	16.3	-1.8009000000000002	3.8808
8	16.4	-1.8009000000000002	3.8805
8	16.5	-1.8009000000000002	3.8805
8	16.6	-1.8009000000000002	3.8805
8	16.7	-1.8009000000000002	3.8802
8	16.8	-1.8009000000000002	3.8802
8	16.9	-1.8009000000000002	3.8802
8	17.0	-1.8009000000000002	3.8802
8	17.1	-1.8009000000000002	3.8798
8	17.2	-1.8009000000000002	3.8798
8	17.3	-1.8009000000000002	3.8798
8	17.4	-1.8009000000000002	3.8798
8	17.5	-1.8009000000000002	3.8795
8	17.6	-1.8009000000000002	3.8795
8	17.7	-1.8009000000000002	3.8792
8	17.8	-1.8009000000000002	3.8792
8	17.9	-1.8009000000000002	3.8792
8	18.0	-1.8009000000000002	3.8792
8	18.1	-1.8009000000000002	3.8786
8	18.2	-1.8009000000000002	3.8786
8	18.3	-1.8009000000000002	3.8786
8	18.4	-1.8009000000000002	3.8786
8	18.5	-1.8009000000000002	3.8783
8	18.6	-1.8009000000000002	3.8783
8	18.7	-1.8009000000000002	3.8783
8	18.8	-1.8009000000000002	3.8783
8	18.9	-1.8009000000000002	3.878
8	19.0	-1.8009000000000002	3.878
8	19.1	-1.8009000000000002	3.878
8	19.2	-1.8009000000000002	3.8777
8	19.3	-1.8009000000000002	3.8777
8	19.4	-1.8009000000000002	3.8777
8	19.5	-1.8009000000000002	3.8774
8	19.6	-1.8009000000000002	3.8774
8	19.7	-1.8009000000000002	3.8774
8	19.8	-1.8009000000000002	3.8774
8	19.9	-1.8009000000000002	3.8771
8	20.0	-1.8009000000000002	3.8771
8	20.1	-1.8009000000000002	3.8771
8	20.2	-1.8009000000000002	3.8771
8	20.3	-1.8009000000000002	3.8767
8	20.4	-1.8009000000000002	3.8767
8	20.5	-1.8009000000000002	3.8767
8	20.6	-1.8009000000000002	3.8767
8	20.7	-1.8009000000000002	3.8764
8	20.8	-1.8009000000000002	3.8764
8	20.9	-1.8009000000000002	3.8764
8	21.0	-1.8009000000000002	3.8761
8	21.1	-1.8009000000000002	3.8761
8	21.2	-1.8009000000000002	3.8761
8	21.3	-1.8009000000000002	3.8761
8	21.4	-1.8009000000000002	3.8758
8	21.5	-1.8009000000000002	3.8758
8	21.6	-1.8009000000000002	3.8758
8	21.7	-1.8009000000000002	3.8758
8	21.8	-1.8009000000000002	3.8755
8	21.9	-1.8009000000000002	3.8755
8	22.0	-1.8009000000000002	3.8755
8	22.1	-1.8009000000000002	3.8755
8	22.2	-1.8009000000000002	3.8752
8	22.3	-1.8009000000000002	3.8752
8	22.4	-1.8009000000000002	3.8752
8	22.5	-1.8009000000000002	3.8752
8	22.6	-1.8009000000000002	3.8749
8	22.7	-1.8009000000000002	3.8749
8	22.8	-1.8005	3.8749
8	22.9	-1.8005	3.8749
8	23.0	-1.8009000000000002	3.8746
8	23.1	-1.8009000000000002	3.8746
8	23.2	-1.8009000000000002	3.8746
8	23.3	-1.8009000000000002	3.8746
8	23.4	-1.8009000000000002	3.8743
8	23.5	-1.8009000000000002	3.8743
8	23.6	-1.8009000000000002	3.8743
8	23.7	-1.8009000000000002	3.874
8	23.8	-1.8009000000000002	3.874
8	23.9	-1.8009000000000002	3.874
8	24.0	-1.8009000000000002	3.874
8	24.1	-1.8009000000000002	3.8736
8	24.2	-1.8009000000000002	3.8736
8	24.3	-1.8009000000000002	3.8736
8	24.4	-1.8009000000000002	3.8736
8	24.5	-1.8009000000000002	3.8736
8	24.6	-1.8009000000000002	3.8733
8	24.7	-1.8009000000000002	3.8733
8	24.8	-1.8009000000000002	3.8733
8	24.9	-1.8009000000000002	3.8733
8	25.0	-1.8009000000000002	3.873
8	25.1	-1.8009000000000002	3.873
8	25.2	-1.8009000000000002	3.873
8	25.3	-1.8009000000000002	3.8727
8	25.4	-1.8009000000000002	3.8727
8	25.5	-1.8009000000000002	3.8727
8	25.6	-1.8009000000000002	3.8727
8	25.7	-1.8009000000000002	3.8727
8	25.8	-1.8009000000000002	3.8727
8	25.9	-1.8009000000000002	3.8724
8	26.0	-1.8009000000000002	3.8724
8	26.1	-1.8009000000000002	3.8724
8	26.2	-1.8009000000000002	3.8721
8	26.3	-1.8009000000000002	3.8721
8	26.4	-1.8009000000000002	3.8721
8	26.5	-1.8009000000000002	3.8721
8	26.6	-1.8009000000000002	3.8718
8	26.7	-1.8009000000000002	3.8718
8	26.8	-1.8009000000000002	3.8718
8	26.9	-1.8009000000000002	3.8718
8	27.0	-1.8009000000000002	3.8715
8	27.1	-1.8009000000000002	3.8715
8	27.2	-1.8009000000000002	3.8715
8	27.3	-1.8009000000000002	3.8715
8	27.4	-1.8009000000000002	3.8715
8	27.5	-1.8009000000000002	3.8709
8	27.6	-1.8009000000000002	3.8709
8	27.7	-1.8009000000000002	3.8709
8	27.8	-1.8009000000000002	3.8709
8	27.9	-1.8009000000000002	3.8709
8	28.0	-1.8009000000000002	3.8705
8	28.1	-1.8009000000000002	3.8705
8	28.2	-1.8009000000000002	3.8705
8	28.3	-1.8009000000000002	3.8702
8	28.4	-1.8009000000000002	3.8702
8	28.5	-1.8009000000000002	3.8702
8	28.6	-1.8009000000000002	3.8702
8	28.7	-1.8009000000000002	3.8702
8	28.8	-1.8009000000000002	3.8699
8	28.9	-1.8009000000000002	3.8699
8	29.0	-1.8009000000000002	3.8699
8	29.1	-1.8009000000000002	3.8699
8	29.2	-1.8009000000000002	3.8696
8	29.3	-1.8009000000000002	3.8696
8	29.4	-1.8009000000000002	3.8696
8	29.5	-1.8009000000000002	3.8696
8	29.6	-1.8009000000000002	3.8693
8	29.7	-1.8009000000000002	3.8693
8	29.8	-1.8009000000000002	3.8693
8	29.9	-1.8009000000000002	3.8693
8	30.0	-1.8009000000000002	3.8693
9	30.1	0.0	3.9291
9	30.2	0.0	3.9298
9	30.3	0.0	3.9301
9	30.4	0.0	3.9307
9	30.5	0.0	3.9313
9	30.6	0.0	3.9316
9	30.7	0.0	3.9322
9	30.8	0.0	3.9326
9	30.9	0.0	3.9332
9	31.0	0.0	3.9335
9	31.1	0.0	3.9338
9	31.2	0.0	3.9341
9	31.3	0.0	3.9344
9	31.4	0.0	3.9347
9	31.5	0.0	3.935
9	31.6	0.0	3.9353
9	31.7	0.0	3.9353
9	31.8	0.0	3.9357
9	31.9	0.0	3.9357
9	32.0	0.0	3.936
9	32.1	0.0	3.9363
9	32.2	0.0	3.9363
9	32.3	0.0	3.9366
9	32.4	0.0	3.9369
9	32.5	0.0	3.9369
9	32.6	0.0	3.9372
9	32.7	0.0	3.9372
9	32.8	0.0	3.9375
9	32.9	0.0	3.9375
9	33.0	0.0	3.9375
9	33.1	0.0	3.9378
9	33.2	0.0	3.9378
9	33.3	0.0	3.9381
9	33.4	0.0	3.9381
9	33.5	0.0	3.9384
9	33.6	0.0	3.9384
9	33.7	0.0	3.9384
9	33.8	0.0	3.9384
9	33.9	0.0	3.9388
9	34.0	0.0	3.9388
9	34.1	0.0	3.9391
9	34.2	0.0	3.9391
9	34.3	0.0	3.9391
9	34.4	0.0	3.9394
9	34.5	0.0	3.9394
9	34.6	0.0	3.9394
9	34.7	0.0	3.9397
9	34.8	0.0	3.9397
9	34.9	0.0	3.9397
9	35.0	0.0	3.9397
9	35.1	0.0	3.94
9	35.2	0.0	3.94
9	35.3	0.0	3.94
9	35.4	0.0	3.9403
9	35.5	0.0	3.9403
9	35.6	0.0	3.9403
9	35.7	0.0	3.9409
9	35.8	0.0	3.9409
9	35.9	0.0	3.9409
9	36.0	0.0	3.9409
9	36.1	0.0	3.9412
9	36.2	0.0	3.9412
9	36.3	0.0	3.9412
9	36.4	0.0	3.9415
9	36.5	0.0	3.9415
9	36.6	0.0	3.9415
9	36.7	0.0	3.9415
9	36.8	0.0	3.9419
9	36.9	0.0	3.9419
9	37.0	0.0	3.9419
9	37.1	0.0	3.9419
9	37.2	0.0	3.9419
9	37.3	0.0	3.9422
9	37.4	0.0	3.9422
9	37.5	0.0	3.9422
9	37.6	0.0	3.9422
9	37.7	0.0	3.9425
9	37.8	0.0	3.9425
9	37.9	0.0	3.9425
9	38.0	0.0	3.9425
9	38.1	0.0	3.9425
9	38.2	0.0	3.9425
9	38.3	0.0	3.9428
9	38.4	0.0	3.9428
9	38.5	0.0	3.9428
9	38.6	0.0	3.9428
9	38.7	0.0	3.9431
9	38.8	0.0	3.9431
9	38.9	0.0	3.9431
9	39.0	0.0	3.9431
9	39.1	0.0	3.9431
9	39.2	0.0	3.9431
9	39.3	0.0	3.9434
9	39.4	0.0	3.9434
9	39.5	0.0	3.9434
9	39.6	0.0	3.9434
9	39.7	0.0	3.9437
9	39.8	0.0	3.9437
9	39.9	0.0	3.9437
9	40.0	0.0	3.9437
10	41.0	0.0	3.9443
10	42.0	0.0	3.9446
10	43.0	0.0	3.9453
10	44.0	0.0	3.9456
10	45.0	0.0	3.9462
10	46.0	0.0	3.9465
10	47.0	0.0	3.9468
10	48.0	0.0	3.9471
10	49.0	0.0	3.9474
10	50.0	0.0	3.9477
10	51.0	0.0	3.9481
10	52.0	0.0	3.9487
10	53.0	0.0	3.949
10	54.0	0.0	3.9493
10	55.0	0.0	3.9496
10	56.0	0.0	3.9496
10	57.0	0.0	3.9499
10	58.0	0.0	3.9502
10	59.0	0.0	3.9505
10	60.0	0.0	3.9508
10	61.0	0.0	3.9508
10	62.0	0.0	3.9512
10	63.0	0.0	3.9515
10	64.0	0.0	3.9515
10	65.0	0.0	3.9518
10	66.0	0.0	3.9521
10	67.0	0.0	3.9521
10	68.0	0.0	3.9524
10	69.0	0.0	3.9524
10	70.0	0.0	3.9527
10	71.0	0.0	3.9527
10	72.0	0.0	3.953
10	73.0	0.0	3.953
10	74.0	0.0	3.9533
10	75.0	0.0	3.9533
10	76.0	0.0	3.9536
10	77.0	0.0	3.9536
10	78.0	0.0	3.9539
10	79.0	0.0	3.9543
10	80.0	0.0	3.9543
10	81.0	0.0	3.9543
10	82.0	0.0	3.9546
10	83.0	0.0	3.9546
10	84.0	0.0	3.9549
10	85.0	0.0	3.9549
10	86.0	0.0	3.9549
10	87.0	0.0	3.9552
10	88.0	0.0	3.9552
10	89.0	0.0	3.9555
10	90.0	0.0	3.9555
10	91.0	0.0	3.9555
10	92.0	0.0	3.9555
10	93.0	0.0	3.9558
10	94.0	0.0	3.9558
10	95.0	0.0	3.9564
10	96.0	0.0	3.9564
10	97.0	0.0	3.9564
10	98.0	0.0	3.9564
10	99.0	0.0	3.9567
10	100.0	0.0	3.9567
10	101.0	0.0	3.9567
10	102.0	0.0	3.957
10	103.0	0.0	3.9567
10	104.0	0.0	3.957
10	105.0	0.0	3.957
10	106.0	0.0	3.957
10	107.0	0.0	3.9574
10	108.0	0.0	3.9574
10	109.0	0.0	3.9574
10	110.0	0.0	3.9574
10	111.0	0.0	3.9577
10	112.0	0.0	3.9577
10	113.0	0.0	3.9577
10	114.0	0.0	3.958
10	115.0	0.0	3.9577
10	116.0	0.0	3.958
10	117.0	0.0	3.958
10	118.0	0.0	3.958
10	119.0	0.0	3.958
10	120.0	0.0	3.958
10	121.0	0.0	3.9583
10	122.0	0.0	3.9583
10	123.0	0.0	3.9583
10	124.0	0.0	3.9583
10	125.0	0.0	3.9586
10	126.0	0.0	3.9586
10	127.0	0.0	3.9586
10	128.0	0.0	3.9586
10	129.0	0.0	3.9586
10	130.0	0.0	3.9586
10	131.0	0.0	3.9586
10	132.0	0.0	3.9589
10	133.0	0.0	3.9589
10	134.0	0.0	3.9589
10	135.0	0.0	3.9589
10	136.0	0.0	3.9589
10	137.0	0.0	3.9592
10	138.0	0.0	3.9589
10	139.0	0.0	3.9589
10	140.0	0.0	3.9592
10	141.0	0.0	3.9592
10	142.0	0.0	3.9592
10	143.0	0.0	3.9592
10	144.0	0.0	3.9592
10	145.0	0.0	3.9592
10	146.0	0.0	3.9595
10	147.0	0.0	3.9595
10	148.0	0.0	3.9595
10	149.0	0.0	3.9595
10	150.0	0.0	3.9595
10	151.0	0.0	3.9595
10	152.0	0.0	3.9595
10	153.0	0.0	3.9595
10	154.0	0.0	3.9595
10	155.0	0.0	3.9595
10	156.0	0.0	3.9595
10	157.0	0.0	3.9598
10	158.0	0.0	3.9598
10	159.0	0.0	3.9598
10	160.0	0.0	3.9598
10	161.0	0.0	3.9598
10	162.0	0.0	3.9598
10	163.0	0.0	3.9598
10	164.0	0.0	3.9598
10	165.0	0.0	3.9601
10	166.0	0.0	3.9601
10	167.0	0.0	3.9601
10	168.0	0.0	3.9601
10	169.0	0.0	3.9601
10	170.0	0.0	3.9601
10	171.0	0.0	3.9601
10	172.0	0.0	3.9601
10	173.0	0.0	3.9601
10	174.0	0.0	3.9601
10	175.0	0.0	3.9601
10	176.0	0.0	3.9605
10	177.0	0.0	3.9601
10	178.0	0.0	3.9601
10	179.0	0.0	3.9601
10	180.0	0.0	3.9605
10	181.0	0.0	3.9605
